Questions,Blooms Taxonomy
Design the recurrence relation of below two functions. (i) int fun1(int n) {if (n <= 1) return n;return fun1(n-1);} (ii) int fun2(int n){if (n <= 1) return n;return fun2(n-1) + fun2(n-2);},Create
Let S be an NP-complete problem and Q and R be two other problems not known to be in NP. Q is polynomial time reducible to S and S is polynomial-time reducible to R. Choose the appropriate type of the problem R.,Create
"Describe the selection function (a function which decides the ordering of the items for the selection) used by the below greedy problems. Knapsack, Dijkstra method, job scheduling with deadline, kruskal method.",Understand
There are eleven professors in a Department. Each professor wants to deliver lecture on same day. Each professor has to conduct the lecture in given lecture limit to earn the credit. Professor earns credit if and only if lecture is arranged on or before its time limit. Assume that each lecture will take 1 unit of time. Calculate the maximum total credit earned by all professors of the Department using greedy approach.,Analyze
Apply recursion tree method on below recurrence relation to do the analysis.,Apply
"Put these items in a knapsack of capacity W=50 to get the maximum total value in the knapsack. You cannot break an item, either pick the complete item or donâ€™t pick it (0-1 property). Apply the greedy approach to solve the optimization problem and derive the value.",Apply
"Put these items in a knapsack of capacity W=50 to get the maximum total value in the knapsack. You cannot break an item, either pick the complete item or donâ€™t pick it (0-1 property). Is the solution optimal? Justify.",Create
"Show and explain the relationship between P, NP, NP-Hard and NP- Complete problems by drawing an appropriate diagram.","Apply, Analyze"
Design recursive and non-recursive functions for Fibonacci sequence and compare the time requirement in both the approaches.,Create
Apply the Dijkstraâ€™s single source shortest path algorithm on the following edge weighted directed graph. Output the sequence of vertices identified by the Dijkstraâ€™s algorithm for single source shortest path when the algorithm is started at node P.,Apply
Apply the Dijkstraâ€™s single source shortest path algorithm on the following edge weighted directed graph. What is the cost of shortest path from P to U?,"Apply, Remember"
Apply the Dijkstraâ€™s single source shortest path algorithm on the following edge weighted directed graph. Analyze the time requirement of Dijkstraâ€™s algorithm.,Apply
Give at least two applications of minimum cost spanning tree. Name algorithms to construct the minimum cost spanning tree. Compute and draw the number of distinct minimum spanning trees for the weighted graph below.,"Remember, Apply"
"Design an algorithm for checking whether two given words are anagrams i.e. whether one word can be obtained by permuting letters zero or more times of the other word. For example, words tea and eat are anagrams.",Create
Name algorithm with O(nlogn) time complexity. Also specify the space requirement.,Remember
Bellman ford algorithm does not work for graphs with ______________________.,Remember
Name graph traversal technique used by backtracking approach to traverse the solution space.,Remember
Discuss the running time of Strassenâ€™s algorithm for matrix multiplication.,Understand
Calculate number of unique colors required for proper vertex coloring of a complete graph having n vertices.,Analyze
"Merge sort uses divide, conquer and combine approach to sort the data. Identify the complexity of combine step in merge sort algorithm.",Understand
"Describe the characteristics of the problem, which can be solved using Dynamic Programming. Give an example.",Understand
"The worst case complexity of Insertion sort algorithm is O(n2), justify.",Create
"Consider the following scenario: you are studying for an exam and you have to study N questions. The questions take {t1, t2, t3, ... tn} time (in hours) and carry {m1, m2, m3,...., mn} marks. You can study for a maximum of T hours. You can either study a question or leave it. Name any two possible approaches to choose the questions in such a way that your score is maximize.","Evaluate, Remember"
Show the data arrangement of quick sort in the worst case. Mention the recurrence relation of quick sort for the worst case and derive the time complexity.,Apply
Apply the Rabin-Karp algorithm on text T = 564159265359 and pattern P = 26 to find the number of exact match and spurious hits. Assume that modulo q= 11.,Apply
"Given a chain of four matrices, A1, A2, A3, A4 with dimensions 5 Ã— 4, 4 Ã— 6, 6 Ã— 2 and 2 Ã— 7, respectively. Consider the below table M with certain computation given. Calculate the missing entries for finding the optimal cost of multiplying these matrices.","Evaluate, Analyze"
Solve 4-queen problem for all the possible solutions using Backtracking approach.,Create
"Show the recursive and dynamic programming formulas to find the Longest Common Subsequence(LCS). Apply the dynamic programming approach to find the LCS of given two strings: S1: president, S2: providence.",Apply
Name the algorithm used to find the shortest distances between every pair of vertices in a Graph. Apply the method to compute the shortest distances on below edge-weighted directed Graph.,"Remember, Apply"
Apply the appropriate approach to find the multiplication of 1234 Ã— 4567 with time complexity less than n2. Analyze the method to prove that complexity is less than n2.,Apply
"Three jobs A, B, C are to be assigned to three machines X, Y, Z. The processing costs are given in the matrix shown below. Determine the allocation of jobs, which minimizes the overall processing cost.",Apply
"Consider two strings A = ""qpqrr"" and B = ""pqprqrp"". Let x be the length of the longest common subsequence (not necessarily contiguous) between A and B and let y be the number of such longest common subsequences between A and B. Then x + 10y =",Evaluate
What is the best case and worst-case complexity of ordered linear search?,Remember
"Arrange the following function in ascending order of their growth? F1(n)=2n, F2(n)=n3/2 , F3(n)=nlog2n, F4(n)=nlog2n",Create
"You are given a knapsack that can carry a maximum weight of 60. There are 4 items with weights {20, 30, 40, 70} and values {70, 80, 90, 200}. What is the maximum value of the items you can carry using the knapsack?",Remember
"You are given infinite coins of denominations 1, 3, 4. What is the total number of ways in which a sum of 7 can be achieved using these coins if the order of the coins is not important?",Remember
"How to choose an algorithm for solving a single problem, when you have multiple algorithms for solving the same problem? Which from the below functions take less time to solve the given problem? Justify your answer",Create
"Apply Rabin-karp string matching algorithm to find out pattern 31415 in the text 2359023141526739921 to find valid match and spurious hits. Take value of q=13. Compare the result with, if we take value of q=11.","Apply, Evaluate"
"You are given two machine with capability to solve given problems (10^(-4)*(2^n) Seconds and (10^(-6)*(2^n) Seconds respectively. Show the calculation that proves which machine is better for input instance size n=10, 15, 20, 30 and 45. Instead of machine A if we choose to use machine C with capability (10^(-2)*(n^3) Seconds, what kind of significant improvement we may get. Show the complete detail analysis.","Create, Apply, Remember"
"Deduce complexity for divide and conquer based matrix multiplication. Is there any approach by which we can reduce matrix multiplication complexity? If yes, then how?",Analyze
"What do you mean by algorithm designing approach? Do Comparison of Backtrack, Branch bound and Dynamic programming.",Remember
Design minimum cost spanning tree for the following graph using Primâ€™s Algorithm.,Create
State Master Theorem. Solve the following recurrence equations using Master Theorem: a). T (n) = 2T (n/2) + n log n b). T (n) = 3T (n/3) + âˆš n,Remember
Apply activity selection process of greedy approach to get maximum activities to be conducted for given activities (i) with start time (Si) and finish time (Fi).,Apply
Write short note on following: 1. Polynomial Reduction 2. NP-Complete 3. NP-Hard,Create
"Calculate the binomial coefficient C(8,6) using dynamic programming.",Analyze
Derive time recurrence relation of Quick Sort in worst case and solve the recurrence by iterative method.,Create
What is Big Oh notation?,Remember
List out methods to solve recurrence relations.,"Apply, Create"
Write an algorithm to find sum of 1 to 100 numbers and find its complexity.,Create
Explain Master's theorem.,Analyze
Explain Selection Sort with analysis.,Analyze
Compare Merge Sort and Quick sort algorithms in terms of complexity.,Evaluate
Compare Dynamic and Greedy algorithms.,Evaluate
Compare the analysis of Linear and Binary search algorithms.,Evaluate
Write and explain Kruskalâ€™s algorithm with an example.,"Create, Analyze"
"Compute Binomial coefficient C(7,3) using dynamic approach.",Apply
"Solve the following 0/1 knapsack problem using Greedy approach. There are five items whose weights and values are given in following arrays, Weight w[] = { 1,4,5,6,7} and values V[] = { 1,6,18,22,28}. Find out the optimal knapsack items for weight capacity of 11 units.",Create
Explain Job scheduling problem with greedy approach.,Analyze
Write and explain primâ€™s algorithm with an example.,"Create, Analyze"
Explain BFS algorithm with example.,Analyze
Compare Branch and Bound and Backtracking.,Evaluate
"Define Directed graph, Undirected Graph ,Out-degree and in-degree of graph.",Remember
Explain Rabin-Karp algorithm with example.,Analyze
Solve the following Task Assignment problem for minimization.,Create
Solve using Large integer multiplication method: 3123 X 222,Create
"Define P, NP,NP-complete and NP-hard problem.",Remember
Determine the Longest Common Subsequence of given two strings: S1: ABCDGH S2: AEDFHR,Apply
Explain 0/1 Knapsack problem using Dynamic Programming with any suitable example.,Analyze
"Generate Dynamic Programming Algorithm to make a change of 8 rupees if currency denominations are 1,4,and 6. Show complete solution.",Apply
Deduce the running time of linear search in worst case.,Analyze
"Why analysis of algorithm is important? Define: Average case, Best case and Worst case complexity.",Remember
State the Master's theorem with all three cases.,Remember
Write recurrence relation for Merge sort and solve it using recurrence tree method.,Create
Solve the recurrence relation using iteration method: 2T(n-2)+1,Create
"Write and Explain Binary Search algorithm for searching value 45 from the following list: 23,36,45,48,52,58,78,90,95","Create, Analyze"
Devise an optimal solution for the following knapsack problem using fractional approach. Capacity of knapsack is 5.,Create
Schedule the following jobs to get maximum profit using greedy technique.,Apply
"Arrange the sequence 8, 1, 4, 1, 5, 9, 2, 6, 5 using Quick sort method.",Create
Does Kruskalâ€™s algorithm always give optimal solution? Justify with an example.,Create
Write and analyze recursive algorithm for finding factorial of a number.,"Create, Apply"
Find the minimum spanning tree for the given graph using prim's algorithm. Consider A as starting vertex.,Evaluate
Explain BFS with example.,Analyze
Compare Backtracking and Branch and Bound technique.,Evaluate
Solve the Assignment Problem with the following cost matrix using Branch & Bound Technique.,Create
Write and Explain Dijkstra's Algorithm for the following graph. Consider 1 as the source vertex.,"Create, Analyze"
Define the following terms: (i) Cross edge (ii) Cycle (iii) Back edge (iv) Tree edge,Remember
Define String Matching Problem. Explain any one String matching algorithm.,Remember
"Evaluate the binomial coefficient C(10,8) using dynamic programming.",Evaluate
Explain exponential algorithm for finding 723.,Analyze
"Consider that the capacity of the knapsack W = 10 and the item list is(i1,i2,i3,i4). Weights of the items are (5,4,6,3) and values are (10,40,30,50). Solve the 0-1 knapsack problem using Dynamic programming.","Evaluate, Create"
"Calculate the optimal cost using matrix chain multiplication method for the given matrices: A=1*2, B=2*3, C=3*4 ,D=4*3",Analyze
"Compare Dynamic and Greedy methods for making change problem for following example: Total amount is 15 and available coins are of 1,7,8,9",Evaluate
Write recurrence relation of Quick sort for Best and Worst case.,Create
What is the complexity of two-way and three-way Merge sort?,Remember
"Define: Average case, Worst case and Best case complexity.",Remember
What is register transfer language?,Remember
What are the three states of Three-State Buffers?,Remember
Draw Only: Digital Circuit of Binary Incrementer.,Create
How many memory references are required in direct address and indirect address?,Understand
What are the four phases of instruction execution?,Remember
"Explain following terms : Binary Code, Symbolic Code",Understand
What is pseudo instruction?,Understand
"Provide the significance of following registers in CPU. PC, AR, DR, IR, INPR, OUTR, AC, TR",Understand
List and explain Shift micro-operations.,Apply
Hoes does microprocessor handles interrupts. Draw Flow chart.,Analyze
"By taking suitable subroutine assembly language program explain, What is subroutine?",Apply
Draw Common Bus System diagram and explain procedure of transferring data from memory M using address location AR to register AC.,Apply
Draw Artimatic circuit for following funcation table.,Apply
"Write an assembly language program to multiply two positive numbers.(Numbers are 1310, 1010)",Analyze
Perform following arithmetic operation using 2's complement integers. i). 35+(-10) ii). 20- (-4),Understand
What is instruction pipeline?,Understand
What are the status bits available in basic computer? [1],Remember
Write down the classification of computer according to Flynn. [1],Remember
Draw Only: Flow chart of Booth Multiplication.,Apply
Convert the following arithmetic expression to postfix notation (1) A * B *(C +D *D)/F (2) A*B*(C+(D/F))/K (3) A+B*C/(G*H)/K (4) A+B/C,Analyze
What are the problems associated with Instruction pipeline?,Apply
How does CPU manipulate stack using Stack Pointer (SP)?,Apply
Write down the characteristics of CISC and RISC architecture.,Understand
"What are the basic difference between branch instruction, Subroutine call and Interrupt?",Understand
"By taking suitable example, explain various addressing modes.",Apply
Draw and explain block diagram of General Register Organization of Computer. How the control word is crated for R1 ÃŸ R2 + R3 Operation.,Apply
Write a short note on Design of control Unit.,Apply
What is instruction Cycle?,Understand
What is mnemonics in assembly language?,Remember
What is Selective Clear? Take 1010 Value for your explanation.,Apply
What is use of control function in Register Transfer language?,Understand
"In which addressing mode, the operand is implicitly part of instruction.",Understand
State True OR False. Tristate buffer is used to implement Common bus system.,Remember
State True OR False. Hardware interlock is a straightforward method to solve processor dependency in Instruction pipeline.,Understand
State True OR False. Operand Fetch is one of the phases of Instruction Execution.,Remember
"State True OR False. In micrpprogram control, the control logic is implemented with gates, flip-flops, decoders and other digital Circuits.",Remember
State True OR False. Microprocessor understands Higher Level language only.,Remember
State True OR False. N X 1 Encoder has 1 input lines and N output lines.,Remember
What are the different types of Instruction Format?,Understand
"Draw Common Bus System diagram of 4-bit, 4 Registers. Explain the function of",Apply
Selection lines to transfer data from Registers to Common Bus.,Understand
What are the addressing modes used in Basic Computer?,Understand
What is RISC? What are the characteristics of CPU which is based on RISC?,Understand
Design Circuit for logic Micro Operations.,Analyze
"Provide the significance of following registers in CPU. PC, AR, DR, IR, INPR, OUTR, AC, TR",Understand
"By taking suitable example, explain Direct Address and Indirect Address.",Understand
Write and Explain: memory reference instructions.,Understand
Design Circuit for Arithmetic Micro Operations.,Analyze
"What are the Machine Language, Assembly Language and higher Level Language?",Understand
Explain use of Decoder in Processor functionality.,Understand
What is Hexadecimal Representation of (10)10.,Remember
How does Branch and Save Return Address facilitate subroutine or function call?,Analyze
Which of the following binary pattern is 2â€™s complement of 1101. a) 1001 b) 1000 c) 1101 d) 1100,Remember
What will be the value if (10110011100011110010)2 is converted to base 16?,Remember
State True OR False. Computer uses 2â€™s complement for Multiplication.,Understand
State True OR False. A â€œwordâ€ is the natural unit of organization of memory. Different computer types may have different word lengths (in bits).,Understand
State True OR False. Current Computers are also known as SISD.,Understand
State True OR False. Physical address is generated by user.,Understand
State True OR False. ROM consists of DRAM.,Understand
State True OR False. Multicore means more than one ALU on single processor die.,Understand
Instruction pipelining is a technique that implements a form of parallelism called instruction-level parallelism within a single processor. How does it increase throughput of CPU?,Apply
Draw diagram of register based microprocessor. Explain how the addition operation is performed?,Understand
Convert the following arithmetic expression to postfix notation (1) A+B/C (2) A*B*(C+(D/F)) (3) A+B*C/(G*H)/K (4) A *(C +D *D)/F,Analyze
Write a short description of Vector Processors.,Understand
Differentiate between CISC and RISC architecture.,Analyze
Write a short note on: Array Processors,Understand
Draw and explain: Flow chart of Addition & Subtraction algorithm.,Understand
"Explain in short with respect to cache memory mapping techniques. Direct Mapping, Associative Mapping, Set-associative Mapping.",Understand
Perform following Multiplication operation using Booth Algorithm.Show each and every steps in the form of table. (-42)10Ã— (13)10 (Note: Flow chart is not required forevaluation),Analyze
Suppose you require total 256 Bytes of RAM and 512 Bytes of ROM.The available RAM and ROM configurations are 128 Ã— 8 and 512 Ã— 8respectively. How many RAMs and ROMs are required? Also show theCPU and Memory connection with neat diagram.,Analyze
"Evaluate and write the instructions to perform the arithmeticstatement Z = P * (Q - R) using Zero, One, Two, Three type addressInstructions. Also give the instruction set for RISC processor.Operands are in memory address P, Q and R. Use registers R1 to R5and temporary memory location T whenever required.",Analyze
Design and explain the combinational circuit for four-bitarithmetic circuit.,Create
"Draw a circuit diagram which shows Gate structure for controllingthe LD, INR and CLR pins of PC Register. Instruction detail isattached herewith.",Apply
"By Taking suitable diagram, explain logical address to physicaladdress mapping in 80386 including segmentation and paging.",Evaluate
What is 10â€™s complement of (5670)10?,Apply
What is instruction pipeline?,Understand
Represent -6 in 4 bits sign magnitude representation.,Apply
Give the example of one address instruction.,Remember
"Which is the fastest memory from the given memories? Main memory, Register, Secondary storage, Cache memory.",Understand
Which are the major component of the CPU? How they are interconnected?,Understand
Draw a block diagram of RAM.,Remember
List different segments in four segment instruction pipeline and taking one suitable instruction explain what each of segment does on that instruction.,Analyze
Discuss the flynnâ€™s classification.,Understand
Discuss Direct mapping technique with suitable example.,Analyze
Explain the most common status bits which are set after the operation in ALU.,Understand
What is the addressing modes? Explain any six addressing modes in detail.,Understand
Draw a Flow chart of Booth Algorithm and perform following Multiplication operation using Booth Algorithm. Show each and every steps in the form of table. (-22)10 Ã— (20)10.,Apply
"By taking suitable number of RAM and ROM, draw and explain the CPU memory connection diagram. CPU address bus is 16 bits.",Create
Perform 2-bit logical shift left operation on 101101110011.,Apply
State True/ False: â€œRegister is made up of flipflop/sâ€.,Remember
Interrupt facility is enabled/disables using (a) FGI flag (b) FGO flag (c) IEN flag (d) IAN flag,Understand
Draw the circuit diagram of half subtractor.,Understand
What is difference between sequential and combination circuit?,Understand
List out the registers available in a basic computer.,Remember
Explain Register transfer operation with appropriate diagram.,Understand
Draw appropriate diagram of binary adder - subtractor.,Understand
Explain four basic Microoperations.,Understand
Discuss stored program organization in basic computer with appropriate diagram.,Understand
Draw the block diagram of the control unit of the basic computer.,Understand
Explain fetch and decode phase of instruction cycle with appropriate diagram.,Understand
Explain different flags in the flag register in 8086.,Understand
Convert given number into octal representation. (10101110111010010110.10111)2 .,Apply
What is the minimum value possible with the Sign Magnitude representation in 6 bits register?,Remember
ADD B is which type of address instruction? where B is the memory location.,Remember
Each stage in pipelining should be completed within ____ clock cycle.,Remember
What is 10â€™s complement of (489)11?,Apply
Which are the major component of the CPU? How they are interconnected?,Understand
Draw a memory hierarchy.,Understand
Consider 1MB cache and 4 GB Main Memory are partitioned into 32KB blocks and word size is 2B. (Note: Consider Memory as word addressable not byte addressable.),Apply
A non-pipeline system takes 50ns to process a task. The same task can be processed in a six-segment pipeline with a clock cycle of 10 ns. Determine the speedup of the pipeline for 100 tasks over non pipeline.,Apply
How many bits are required for Physical address and word offset? How many TAG bits are required for Direct mapping and 4-Way Set Associative Mapping?,Analyze
What is instruction pipeline? Derive the equation for speedup with necessary assumption and solve below example.,Evaluate
What is interrupt and subroutine? Differentiate interrupt and subroutine.,Understand
Give a function table of 256 Ã— 8 RAM. (Show Memory function and State of the databus),Remember
Draw a Flow chart of Booth Algorithm and perform following Multiplication operation using Booth Algorithm. Show each and every steps in the form of table. (-27)10 Ã— (18)10,Create
What is instruction pipeline conflicts? Explain the solutions of branch difficulties in detail.,Evaluate
What is addressing modes? List and explain six addressing modes (which involve any type of register) with example.,Understand
Define Sequential circuit.,Understand
Perform 1-bit logical shift right operation on 101101110011.,Apply
What is immediate addressing mode?,Understand
80186 microprocessor contains ______ bits address bus.,Remember
80386 has the ability to address ______ GB of physical memory.,Remember
Draw the circuit diagram of full adder.,Create
List out the registers available in a basic computer.,Remember
Draw a block diagram of a common bus system for transferring data from four registers using multiplexers.,Create
List out the operating modes in 80386 and Explain.,Understand
Explain direct and indirect addressing modes with appropriate diagram.,Understand
Explain any four functional parts of 80186 microprocessor.,Understand
What is three-state buffer? Explain with diagram. Draw a block diagram of common bus system for â€˜bit 0â€™ line using three-state buffers.,Understand
Draw the architecture of 8086.,Remember
Which are the different types of instructions available in a basic computer? Draw the flowchart of determining the type of an instruction.,Create
Assume that passwords are limited to the use of the 95 printable ASCII characters and that all passwords are 10 characters in length. Assume a password cracker with an encryption rate of 6.4 million encryptions per second. How long will it take to test exhaustively all possible passwords on a UNIX system?,Analyze
What is the difference between preemptive and nonpreemptive scheduling?,Understand
What is a daemon?,Remember
"Consider a memory system with the following parameters: Tc 100 ns Cc 0.01 cents/bit Tm 1,200 ns Cm 0.001 cents/bit. If the effective access time is 10% greater than the cache access time, what is the hit ratio H?",Apply
What is the difference between passive and active security threats?,Understand
"A 32-bit computer has two selector channels and one multiplexor channel. Each selector channel supports two magnetic disk and two magnetic tape units. The multiplexor channel has two line printers, two card readers, and ten VDT terminals connected to it. Assume the following transfer rates: Disk drive 800 Kbytes/s Magnetic tape drive 200 Kbytes/s Line printer 6.6 Kbytes/s Card reader 1.2 Kbytes/s VDT 1 Kbyte/s. Estimate the maximum aggregate I/O transfer rate in this system.",Apply
What is the role of encryption in the operation of a virus?,Evaluate
Differentiate internal commands from external commands.,Understand
"In the S/370 architecture, a storage key is a control field associated with each page-sized frame of real memory. Two bits of that key that are relevant for page replacement are the reference bit and the change bit. The reference bit is set to 1 when any address within the frame is accessed for read or write, and is set to 0 when a new page is loaded into the frame. The change bit is set to 1 when a write operation is performed on any location within the frame. Suggest an approach for determining which page frames are least-recently-used, making use of only the reference bit.",Analyze
What are the design goals for TinyOS?,Understand
What is Memory-Management Unit (MMU)?,Understand
What is multithreading?,Understand
Explain the concept of Reentrancy?,Understand
Name the functions constituting the OS's memory management.,Remember
"Consider the following program: <CODE> Note that the scheduler in a uniprocessor system would implement pseudo-parallel execution of these two concurrent processes by interleaving their instructions, without restriction on the order of the interleaving. Show a sequence such that the statement â€°Ð«ÐŸx is 8â€°Ð«Ñœ is printed. You should remember that the increment/decrements at the source language level are not done atomically, that is, the assembly language code: <CODE> implements the single C increment instruction (x = x + 1).",Analyze
What delay elements are involved in a disk read or write?,Understand
"For Figure 6.3, provide a narrative description of each of the six depicted paths, similar to the description of the paths of Figure 6.2 provided in Section 6.1.",Understand
What is the difference between internal and external fragmentation?,Understand
What are the different types of CPU registers in a typical operating system design?,Remember
"In loading programs into memory, what is the difference between load-time dynamic linking and run-time dynamic linking?",Understand
What is a semaphore?,Remember
What is process migration?,Remember
"Let be the percentage of program code that can be executed simultaneously by n computers in a cluster, each computer using a different set of parameters or initial conditions. Assume that the remaining code must be executed sequentially by a single processor. Each processor has an execution rate of x MIPS. Derive an expression for the effective MIPS rate when using the system for exclusive execution of this program, in terms of n, , and x.",Analyze
Difference between Primary storage and secondary storage?,Understand
What is the difference between a mode switch and a process switch?,Understand
What characteristics distinguish the various elements of a memory hierarchy?,Analyze
"It was pointed out that two advantages of using multiple threads within a process are that (1) less work is involved in creating a new thread within an existing process than in creating a new process, and (2) communication among threads within the same process is simplified. Is it also the case that a mode switch between two threads within the same process involves less work than a mode switch between two threads in different processes?",Evaluate
"Consider a buddy system in which a particular block under the current allocation has an address of 011011110000. If the block is of size 4, what is the binary address of its buddy? If the block is of size 16, what is the binary address of its buddy?",Analyze
"Consider a memory in which contiguous segments S1, S2,...,Sn are placed in their order of creation from one end of the store to the other, as suggested by the following figure: When segment Sn+1 is being created, it is placed immediately after segment Sn even though some of the segments S1, S2,...,Sn may already have been deleted. When the boundary between segments (in use or deleted) and the hole reaches the other end of the memory, the segments in use are compacted. The fraction of time F spent on compacting obeys the following inequality: FUÐ½Ðƒ1-f wherek=t-1 1 + kf 2s where, s average length of a segment, in words, t average lifetime of a segment, in memory references, f fraction of the memory that is unused under equilibrium conditions. Find F for f 0.2,t 1,000, and s 50.",Analyze
Describe Bankers algorithm,Understand
Why a process need a resource being held by another process in an operating system,Understand
What is a folder in Ubuntu ?,Understand
"In the THE multiprogramming system, a page can make the following state transitions: <CONDITIONS> Define the effect of these",Analyze
"This diagram shows an example of memory configuration under dynamic partitioning, after a number of placement and swapping-out operations have been carried out. Addresses go from left to right; gray areas indicate blocks occupied by processes; white areas indicate free memory blocks. The last process placed is 2-Mbyte and is marked with an X. Only one process was swapped out after that. A new 3-Mbyte allocation request must be satisfied next. Indicate the intervals of memory where a partition will be created for the new process under the following four placement algorithms: best-fit, first-fit, next-fit, worst-fit. For each algorithm, draw a horizontal segment under the memory strip and label it clearly.",Analyze
What are the advantages of multiprocessor system?,Analyze
How many jobs can be run concurrently on MVT?,Remember
List and briefly define three versions of load sharing.,Understand
What is mutant?,Analyze
Consider a fixed partitioning scheme with equal-size partitions of 216 bytes and a total main memory size of 224 bytes. A process table is maintained that includes a pointer to a partition for each resident process. How many bits are required for the pointer?,Analyze
"Consider a disk with N tracks numbered from 0 to (N - 1) and assume that requested sectors are distributed randomly and evenly over the disk. We want to calculate the average number of tracks traversed by a seek. Calculate the probability of a seek of length j when the head is currently positioned over track t. (Hint: This is a matter of determining the total number of combinations, recognizing that all track positions for the destination of the seek are equally likely.)",Analyze
Explain the rationale behind the three-tier client/server architecture.,Analyze
What are turnaround time and response time?,Understand
How can the hold-and-wait condition be prevented?,Evaluate
Directories can be implemented either as â€°Ð«ÐŸspecial filesâ€°Ð«Ñœ that can only be accessed in limited ways or as ordinary data files. What are the advantages and disadvantages of each approach?,Evaluate
"In Section 3.4, it was stated that UNIX is unsuitable for real-time applications because a process executing in kernel mode may not be preempted. Elaborate.",Analyze
Explain what is the purpose of using libaio package in Ubuntu?,Understand
For what types of entities does the OS maintain tables of information for management purposes?,Understand
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities. Divide the I-loop iterations among the 32 computers as follows: Computer 1 executes the first 32 iterations (I 1 to 32), processor 2 executes the next 32 iterations, and so on. What are the execution time and speedup factor compared with part (a)? (Note that the computational workload, dictated by the J-loop, is unbalanced among the computers.)",Evaluate
What is a critical section?,Understand
Evaluate the bankerâ€°Ð«Ð„s algorithm for its usefulness in an OS.,Evaluate
"Suppose that we have a multiprogrammed computer in which each job has identical characteristics. In one computation period, T, for a job, half the time is spent in I/O and the other half in processor activity. Each job runs for a total of N periods. Assume that a simple round-robin scheduling is used, and that I/O operations can overlap with processor operation. Define the following quantities: â€°Ð«Ñž Turnaround time = actual time to complete a job â€°Ð«Ñž Throughput = average number of jobs completed per time period T â€°Ð«Ñž Processor utilization = percentage of time that the processor is active (not waiting) Compute these quantities for one, two, and four simultaneous jobs, assuming that the period T is distributed in each of the following ways: a. I/O first half, processor second half b. I/O first and fourth quarters, processor second and third quarter",Evaluate
What are some pros and cons of a command line interface?,Evaluate
"Consider a simple segmentation system that has the following segment table: <TABLE> For each of the following logical addresses, determine the physical address or indicate if a segment fault occurs",Analyze
What level of security does Windows NT meets?,Evaluate
"Because of the known risks of the UNIX password system, the SunOS-4.0 documentation recommends that the password file be removed and replaced with a publicly readable file called /etc/publickey. An entry in the file for user A consists of a userâ€°Ð«Ð„s identifier IDA, the userâ€°Ð«Ð„s public key, PUa, and the corresponding private key, PRa. This private key is encrypted using DES with a key derived from the userâ€°Ð«Ð„s login password Pa. When A logs in, the system decrypts E(Pa, PRa) to obtain PRa. The system then verifies that Pa was correctly supplied. How?",Analyze
"What is the difference among deadlock avoidance, detection, and prevention?",Understand
What are the basic functions of file management in OS?,Understand
Consider an environment in which there is a one-to-one mapping between user-level threads and kernel-level threads that allows one or more threads within a process to issue blocking system calls while other threads continue to run. Explain why this model can make multithreaded programs run faster than their single-threaded counterparts on a uniprocessor computer.,Evaluate
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the impossible transitions and explain why.",Evaluate
Both the search and the insertion time for a B-tree are a function of the height of the tree. We would like to develop a measure of the worst-case search or insertion time. Consider a B-tree of degree d that contains a total of n keys. Develop an inequality that shows an upper bound on the height h of the tree as a function of d and n.,Analyze
Why does the eCos bitmap scheduler not support time slicing?,Analyze
List some benefits and disadvantages of blocking and nonblocking primitives for message passing.,Evaluate
What is a trap and trapdoor?,Remember
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. For the seven-state process model of Figure 3.9b, draw a queueing diagram similar to that of Figure 3.8b.",Create
What is graceful degradation?,Understand
"Assume that source elements of length k are mapped in some uniform fashion into a target elements of length p. If each digit can take on one of r values, then the number of source elements is rk and the number of target elements is the smaller number rp. A particular source element xi is mapped to a particular target element yj. What is the probability that the correct source element can be selected by an adversary on one try? What is the probability that a different source element xk (xi =Ð½ÑŒ xk) that results in the same target element, yj, could be produced by an adversary? What is the probability that the correct target element can be produced by an adversary on one try?",Analyze
"In general terms, what are the four distinct actions that a machine instruction can specify?",Remember
"Consider the solution to the infinite-buffer producer/consumer problem defined in Figure 5.10. Suppose we have the (common) case in which the producer and consumer are running at roughly the same speed. The scenario could be: Producer: append; semSignal; produce; ... ; append; semSignal; produce; ... Consumer: consume; ... ; take; semWait; consume; ... ; take; semWait; ... The producer always manages to append a new element to the buffer and signal during the consumption of the previous element by the consumer. The producer is always appending to an empty buffer and the consumer is always taking the sole item in the buffer. Although the consumer never blocks on the semaphore, a large number of calls to the semaphore mechanism is made, creating considerable overhead. Construct a new program that will be more efficient under these circumstances. Hints: Allow n to have the value â€°Ð«Ð¢1, which is to mean that not only is the buffer empty but that the consumer has detected this fact and is going to block until the producer supplies fresh data.",Create
Throw some light on Internal Process Memory.,Understand
What are some typical requirements or constraints on embedded systems?,Remember
"Assume that a task is divided into four equal-sized segments and that the system builds an eight-entry page descriptor table for each segment. Thus, the system has a combination of segmentation and paging. Assume also that the page size is 2 Kbytes. What is the maximum size of each segment? What is the maximum logical address space for the task?",Analyze
What differences are there between a semaphore wait signal and a condition variable wait signal?,Evaluate
